"L","R","F","M","C"
88.94,1,210,580717,0.961639043
85.39,7,140,293678,1.25231444
85.97,11,135,283712,1.254675516
67.29,97,23,281336,1.090869565
59.68,5,152,309928,0.970657895
73.68,79,92,294585,0.967692483
96.29,1,101,287042,0.965346535
47.71,3,73,287230,0.962070222
33.77,6,56,321489,0.828478237
44.84,15,64,375074,0.708010153
40.42,22,43,262013,0.988658044
112.58,6,145,271438,0.95253487
88.26,67,29,321529,0.799126984
89.19,3,118,179514,1.398381742
49.97,2,50,270067,0.921984841
72.1,65,22,234721,1.026084586
44.52,7,101,172231,1.3865249
40.68,45,40,284160,0.837844243
95.81,2,64,169358,1.401596264
31.06,24,38,332896,0.70828541
68.03,4,106,167113,1.369404116
33.77,6,23,214590,1.061630924
107.68,23,94,305250,0.741803833
47.58,74,20,222380,1.004904443
49.55,17,44,281837,0.787308444
41.55,17,62,243674,0.902990019
85.97,3,213,187917,1.146354614
110.52,11,74,148685,1.433364428
98.77,18,101,159129,1.33816985
69.48,11,87,149254,1.424714581
95.65,2,53,144076,1.469224298
112.19,8,95,149053,1.414895104
107.65,16,131,220948,0.944884271
96.35,3,95,148227,1.398640194
87.97,3,47,285144,0.725685618
53.58,108,25,220389,0.937899941
109.58,34,24,189813,1.087220053
96.03,125,54,141012,1.462104927
82.74,1,166,229303,0.890172305
61.13,34,81,140819,1.429179443
95.19,2,98,137876,1.458541443
38.42,3,35,201141,0.998554546
86.87,3,95,140803,1.396985007
46.87,13,46,256766,0.764737193
111.87,38,54,160825,1.20853437
39.65,22,21,185493,1.029507529
20.58,1,110,187588,1.015978367
92.48,7,134,140356,1.356053179
110.16,2,107,135811,1.398992423
44.52,304,70,219282,0.863479447
70.32,1,189,235687,0.802633323
26.74,4,87,132283,1.425177007
88.42,11,29,211369,0.888869986
75.68,1,48,130135,1.408197795
80.81,1,68,135374,1.349375212
111.9,4,111,216560,0.828452854
76.16,22,69,131660,1.354943567
73.94,4,126,204371,0.867522349
111.1,15,55,153868,1.146000598
110.16,21,76,214921,0.819187329
109.45,15,68,127335,1.380410335
112.39,1,77,136121,1.288018381
45.71,6,84,186821,0.938031056
34.55,14,96,204612,0.848239546
46.1,8,30,164001,1.057257212
103.58,19,85,121097,1.426106262
76.52,88,32,182563,0.944650121
44.68,19,34,170121,1.013669976
41.03,1,197,275800,0.620507614
63.55,7,30,184194,0.928504294
19.52,62,18,209911,0.811871079
53.39,19,64,137636,1.236256939
27.32,4,149,219108,0.774487057
76.42,13,61,143186,1.183962818
41.58,36,36,209839,0.806177069
43.55,22,22,170406,0.992454374
12.52,29,23,169224,0.995539285
33.71,18,16,163191,1.019520072
41.16,8,102,140220,1.179368992
101.32,6,81,159255,1.034587737
21.06,6,30,208687,0.782406571
92.58,12,127,170611,0.956332827
66.39,2,56,116728,1.394863786
23.19,1,79,208797,0.777341772
109.45,9,97,155881,1.036667137
112.42,2,158,205159,0.784701427
94.74,7,64,115300,1.391299306
44.9,13,51,137500,1.165835855
81.1,144,29,157056,1.017859044
77.84,1,69,114077,1.387490292
69.58,15,88,122619,1.281481989
38,15,42,162453,0.966069448
86.16,10,129,109813,1.429138536
88.1,14,67,123464,1.265322199
47.58,53,12,146784,1.059166667
112.16,4,100,162250,0.952273652
102.26,11,69,118726,1.297050351
35.55,34,17,125349,1.226505277
112.65,9,12,146784,1.046666667
23.13,4,54,144562,1.053910364
68.1,21,79,123985,1.228445376
66.74,5,87,105119,1.445489778
23.1,17,53,144682,1.046215562
86.9,17,92,134823,1.118316089
46.16,11,48,150537,1.001144569
101.29,3,90,108184,1.390945611
62.42,9,56,104663,1.435274261
107.84,4,146,191328,0.783239829
30.55,15,35,167150,0.894261083
29.71,63,33,174046,0.85318887
103.16,7,142,177357,0.835532119
40.45,44,31,204438,0.723434195
88.1,29,53,102999,1.434114409
82,14,21,159605,0.925114251
21.77,27,16,195712,0.75375
112.19,3,85,155704,0.946174922
112.23,22,71,119961,1.225504039
67.26,2,130,167593,0.873661907
46.77,4,89,149557,0.978068228
104.06,11,83,103087,1.411593411
111.94,2,99,162215,0.896966187
108.48,27,40,198627,0.731685018
70.03,11,52,99524,1.458000784
99.06,10,65,119794,1.210876087
107.26,3,34,151642,0.951756044
91.55,6,83,149993,0.960765569
28.55,24,65,109089,1.318943707
15.35,23,18,146238,0.982511386
81.74,4,66,102689,1.39722054
95.45,2,52,105167,1.356986792
36.52,38,27,182561,0.780547269
112.03,1,193,209912,0.675609779
21.16,6,65,184730,0.764
23.65,59,14,144708,0.97367319
53.39,11,24,213058,0.658633893
41.71,17,89,177556,0.787337009
69.35,8,57,98104,1.42497258
52.58,12,101,140188,0.996902945
12.9,16,19,155552,0.897522308
93.06,24,95,140931,0.988949912
71.97,7,85,97855,1.423453171
112.23,22,108,169746,0.817685954
112.16,4,64,97250,1.426656247
107.94,3,113,204853,0.674381581
55.13,1,31,95766,1.438600025
100.48,5,79,129119,1.065611103
22.94,17,109,163010,0.843554751
60.06,18,19,201613,0.681331859
57.87,25,120,172352,0.790287551
95.52,1,45,116917,1.154155854
82.74,135,19,136374,0.988910129
46.13,184,22,135717,0.993493225
51.13,15,80,105118,1.277942503
87.19,6,82,106666,1.255920537
43.74,12,90,179472,0.744693267
43.81,157,17,143287,0.931991388
90.52,9,39,97116,1.374724556
70.84,11,102,102961,1.295748779
112.23,11,90,158149,0.843185667
110.29,7,125,176585,0.75433474
85.77,23,77,94142,1.414713624
111.77,6,79,157844,0.843179595
88.71,13,116,165365,0.802227557
38.39,15,58,91515,1.448642081
92.26,8,109,144321,0.914492693
92.68,9,180,182540,0.720028487
50.58,1,103,218087,0.602317149
110.39,8,107,155834,0.841613512
36.03,121,14,125796,1.040394289
49.61,2,149,155588,0.836742487
30.58,49,76,94185,1.380177417
85.68,3,55,94577,1.369523774
30.32,4,80,92022,1.407186108
110.26,16,40,139742,0.926317142
98.52,7,142,183472,0.702883928
12.48,23,14,126850,1.016463224
37.19,30,24,125340,1.026238631
34.61,18,13,126495,1.014545871
87.81,2,85,151736,0.843447435
108.94,3,68,117537,1.085817147
108,8,116,161730,0.786706177
23.71,2,123,89350,1.419099832
83.87,17,47,91018,1.389867279
43.74,95,14,123662,1.022610665
93.35,107,49,90602,1.394936204
106.13,2,86,157799,0.799002655
73.42,11,60,106278,1.182681834
104.23,4,110,166843,0.750906841
43.68,179,15,183480,0.681333333
108.35,2,67,119347,1.046676247
49.58,1,51,99034,1.259950118
46.45,69,74,96520,1.289827497
42.42,27,12,121632,1.023333333
52.97,6,59,85171,1.461263576
55.13,18,120,176951,0.701123814
66.94,3,60,88428,1.40060309
93.84,1,57,90553,1.366744227
27.42,57,43,195034,0.631640227
71.35,2,113,151060,0.81511929
106.97,23,42,165589,0.743348652
107.13,16,58,94554,1.299097235
101.61,30,16,184227,0.66544855
112.26,18,122,180074,0.68017726
106.06,6,72,91164,1.343311285
52.58,10,113,121394,1.008554047
103.94,2,77,157206,0.777235347
63.58,10,57,91658,1.332451177
26.87,13,16,115401,1.057235119
58.74,9,77,151637,0.803643702
110.35,3,88,117157,1.039534044
82.13,51,13,137604,0.884236795
106.35,3,124,113615,1.070194781
100.45,31,69,147549,0.823818121
73.16,1,66,86430,1.406350341
39.97,102,26,178921,0.679305671
55.97,4,59,94946,1.273062688
81.87,1,125,189177,0.637994577
60.55,11,97,171544,0.701652637
98.19,3,57,144505,0.832500467
38.87,5,64,262290,0.457967364
111.23,114,49,88903,1.350911443
78.45,2,58,84353,1.423312271
107.81,5,136,145540,0.82433441
39.45,4,68,148879,0.804845344
73.65,4,71,180226,0.664729007
88.97,16,116,130636,0.916310894
82.1,1,110,172640,0.693026819
68.32,12,105,145253,0.823284201
60.9,21,52,83356,1.433468257
105.48,3,106,167199,0.714441235
107.45,178,11,112128,1.065035317
47.1,13,59,92635,1.283990608
76.06,18,59,145433,0.817583423
98.48,26,83,94441,1.254728561
22.74,317,10,122320,0.966
67,1,116,136228,0.866121649
107.39,2,95,138873,0.849043083
31.35,6,79,151183,0.778897164
96.1,7,76,86061,1.367977249
80.55,1,100,91727,1.282347182
112.35,1,107,165304,0.710868219
97.94,290,25,109336,1.074683178
69.97,13,114,151625,0.774562836
48.68,9,57,84080,1.394920314
86.71,22,76,119514,0.98076627
17.45,99,11,111496,1.05
95.65,30,43,94144,1.240551283
37.29,22,20,148827,0.784519543
81.45,32,53,85000,1.373478
102.71,4,56,82981,1.403768453
30.1,2,84,140535,0.827823318
72.52,6,111,141864,0.819703519
34.03,18,109,126167,0.921339098
96.94,5,60,98083,1.175007596
44.19,3,61,161499,0.713012031
67.1,9,43,93447,1.231469603
87.77,5,149,157683,0.724336929
41.35,4,43,111807,1.020765158
47.19,83,56,114358,0.995827664
100.52,3,94,109142,1.040933738
103.03,13,84,139338,0.811427392
20.35,9,16,107047,1.051401627
98.23,17,128,131315,0.856878118
89.16,2,124,130776,0.860026534
38.1,4,111,130622,0.859196613
56.71,1,77,134838,0.832180765
95.94,22,42,77936,1.436042137
52.94,1,124,160524,0.695089955
32.19,6,19,96503,1.156085303
43.1,45,53,134627,0.828407972
33.97,1,61,83245,1.337276713
51.61,1,17,105377,1.056396083
31.1,4,48,119036,0.934725209
89.58,22,26,94249,1.178456641
96.65,31,43,79426,1.395587087
55.77,61,87,115134,0.962306964
46.29,1,114,124499,0.889901525
49.39,20,54,75651,1.462917873
51.71,20,68,163454,0.676618926
78.1,6,112,134757,0.82046172
65.61,13,73,163958,0.673120738
81.61,38,49,80641,1.368281891
19.29,2,40,127004,0.868515165
108.48,5,82,135413,0.81353969
62.45,1,154,129582,0.848141331
100.45,13,58,145294,0.755701956
67.61,2,52,97731,1.120337764
40.68,8,43,78765,1.388142957
61.71,4,105,138593,0.788873392
98.68,4,97,116461,0.93836632
45.71,112,17,121870,0.896000164
49.16,59,32,77106,1.416159832
46,5,37,119320,0.914270784
96,5,86,159612,0.682643911
24.45,13,62,139995,0.778110575
39.48,11,67,127081,0.856602875
93.06,8,84,129836,0.837625235
62.52,8,117,132853,0.816301476
57.68,2,122,129272,0.837572715
94.87,24,87,131029,0.82610529
62.35,2,73,75413,1.434756209
102.71,8,97,113939,0.949395993
49.26,5,93,150612,0.7180637
49.26,8,83,134621,0.801739699
42.52,11,105,145865,0.737595174
75.1,56,27,164336,0.654476682
99.32,31,24,110964,0.968107765
95.81,2,137,122439,0.874927107
18.94,22,57,90144,1.187537496
51.84,7,50,89115,1.201031476
34.13,8,45,139898,0.765013009
29.45,1,109,122024,0.877036239
51.52,18,46,80830,1.32374168
68.29,17,77,139876,0.763144213
89.97,5,60,154736,0.689844509
21.61,6,66,151383,0.705022823
83.9,4,77,144030,0.74088551
96.87,16,77,80208,1.325833583
41.32,13,28,77108,1.378992322
34.74,113,34,143761,0.739229694
81.65,9,62,141413,0.751386294
47.03,34,53,73717,1.440717609
30.42,4,37,72741,1.459011837
85.68,65,94,126174,0.839762709
81.32,10,48,74411,1.423607397
44.1,5,52,73647,1.430674841
34.65,1,52,135689,0.776371777
100.94,33,59,127314,0.827179729
73.16,9,72,149171,0.705943112
70.39,13,47,76753,1.37078264
112.26,9,107,169750,0.619739087
32.65,23,96,136246,0.771855467
23.42,5,132,151273,0.694012613
38.39,2,168,130985,0.800659159
27.84,17,49,125237,0.837061811
111.94,136,12,103960,1.00799115
87.81,13,36,109695,0.954319431
95.26,77,21,137610,0.760666667
62.45,24,60,137654,0.760252081
112.16,33,84,117382,0.8915401
95.9,7,59,97219,1.075326325
95.48,1,118,139566,0.746258043
67.35,27,49,78417,1.327684941
19.1,4,74,113789,0.91433425
27.68,7,64,139827,0.744006522
79.74,19,47,71121,1.461826465
88.74,1,46,71012,1.462023883
82.06,7,115,115562,0.8967864
41.94,13,28,72232,1.434513512
45.19,351,12,100421,1.029644795
92.26,8,65,93221,1.107523948
51.61,66,24,183418,0.562442563
67.74,4,50,135574,0.760115583
83.19,5,98,141053,0.728867305
102.87,1,46,73338,1.398998609
57.45,17,61,114031,0.899280547
28.68,84,28,82659,1.238878525
26.48,68,28,73852,1.386176542
17.61,15,17,104641,0.978310605
94.42,1,51,72274,1.416135816
73.23,16,85,104969,0.974864579
98.19,2,128,147767,0.69244581
18.74,14,23,157186,0.650619648
73.55,2,78,121231,0.84343724
62.84,1,67,135439,0.754458243
103.65,1,96,131739,0.775295546
35.9,20,118,143796,0.710068848
20.52,48,86,128754,0.792415925
25.52,5,36,124032,0.82250645
56.97,83,10,99312,1.025894957
90.42,1,34,70486,1.443316261
92.32,2,23,74910,1.357742091
85.97,5,76,138952,0.731532688
